metric_name,current_snapshot_id,reference_snapshot_id,current_metric_value,reference_metric_value,absolute_delta,relative_delta_pct,warning_threshold_pct,fail_threshold_pct,drift_status,source_table,allowed_use_note,proxy_assumption_label
candidate_site_count,tile_smoke_current,tile_smoke_reference_candidate,1973.0,1973.0,0.0,0.0,0.15,0.35,pass,clean_candidate_sites_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
coverage_row_count,tile_smoke_current,tile_smoke_reference_candidate,3462615.0,3462615.0,0.0,0.0,0.15,0.35,pass,fact_candidate_zone_coverage_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
eligible_coverage_pair_count,tile_smoke_current,tile_smoke_reference_candidate,28252.0,28252.0,0.0,0.0,0.2,0.4,pass,fact_candidate_zone_coverage_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
baseline_score_row_count,tile_smoke_current,tile_smoke_reference_candidate,5919.0,5919.0,0.0,0.0,0.1,0.25,pass,mart_candidate_baseline_scores_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
optimization_summary_row_count,tile_smoke_current,tile_smoke_reference_candidate,12.0,12.0,0.0,0.0,0.1,0.25,pass,mart_optimization_results_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
optimization_objective_mclp_base,tile_smoke_current,tile_smoke_reference_candidate,27652281.0,27652281.0,0.0,0.0,0.05,0.15,pass,mart_optimization_results_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
optimization_cost_mclp_base,tile_smoke_current,tile_smoke_reference_candidate,5920000.0,5920000.0,0.0,0.0,0.05,0.15,pass,mart_optimization_results_tile_smoke,"Snapshot drift is an alert for review, not a source-data error by itself.",tile_smoke_snapshot_drift_not_investment_grade
