snapshot_id,metric_name,metric_value,metric_unit,source_table,allowed_use_note,proxy_assumption_label
tile_smoke_current,candidate_site_count,1973.0,count,clean_candidate_sites_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,coverage_row_count,3462615.0,count,fact_candidate_zone_coverage_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,eligible_coverage_pair_count,28252.0,count,fact_candidate_zone_coverage_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,baseline_score_row_count,5919.0,count,mart_candidate_baseline_scores_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,optimization_summary_row_count,12.0,count,mart_optimization_results_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,optimization_objective_mclp_base,27652281.0,demand_weight,mart_optimization_results_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
tile_smoke_current,optimization_cost_mclp_base,5920000.0,cost_proxy,mart_optimization_results_tile_smoke,Pipeline snapshot metric for drift monitoring; not investment advice.,tile_smoke_pipeline_snapshot_metric
